,Ticker,Stock Price,52 Week Change,Number of Shares to Buy
0,MMM,178.7,0.1247,N/A
1,ABT,128.2,0.44270000000000004,N/A
2,ABBV,104.4,0.1157,N/A
3,ABMD,328.3,0.943,N/A
4,ACN,257.4,0.2045,N/A
5,ATVI,103.8,0.6286,N/A
6,ADBE,498.8,0.31670000000000004,N/A
7,AMD,93.7,0.6483,N/A
8,AAP,152.8,0.0776,N/A
9,AES,28.5,0.3566,N/A
10,AFL,46.5,-0.0956,N/A
11,A,127.9,0.5094,N/A
12,APD,260.5,0.018799999999999997,N/A
13,AKAM,101.5,0.0062,N/A
14,ALK,57.5,-0.1211,N/A
15,ALB,164.6,0.8561,N/A
16,ARE,173.0,-0.0045000000000000005,N/A
17,ALXN,158.3,0.5504,N/A
18,ALGN,609.5,1.2583,N/A
19,ALLE,118.2,-0.1198,N/A
20,LNT,48.2,-0.1974,N/A
21,ALL,104.4,-0.15990000000000001,N/A
22,GOOGL,2095.0,0.3788,N/A
23,GOOG,2104.1,0.3846,N/A
24,MO,43.4,-0.04019999999999999,N/A
25,AMZN,3277.7,0.5205,N/A
26,AMCR,11.5,0.1263,N/A
27,AEE,73.2,-0.1553,N/A
28,AAL,17.2,-0.3968,N/A
29,AEP,78.6,-0.2465,N/A
30,AXP,129.6,-0.0441,N/A
31,AIG,41.4,-0.1553,N/A
32,AMT,227.1,-0.1018,N/A
33,AWK,161.6,0.1611,N/A
34,AMP,218.0,0.23010000000000003,N/A
35,ABC,105.1,0.1153,N/A
36,AME,121.7,0.2118,N/A
37,AMGN,237.2,0.07,N/A
38,APH,135.9,0.3404,N/A
39,ADI,160.7,0.35600000000000004,N/A
40,ANSS,403.6,0.3874,N/A
41,ANTM,290.6,-0.038900000000000004,N/A
42,AON,228.0,-0.030699999999999998,N/A
43,AOS,60.3,0.37270000000000003,N/A
44,APA,17.4,-0.3782,N/A
45,AAPL,135.3,0.6973999999999999,N/A
46,AMAT,116.7,0.7909999999999999,N/A
47,APTV,156.2,0.7756000000000001,N/A
48,ADM,55.7,0.2535,N/A
49,ANET,323.3,0.43189999999999995,N/A
50,AJG,116.6,0.0753,N/A
51,AIZ,128.1,-0.0964,N/A
52,T,28.8,-0.2473,N/A
53,ATO,91.0,-0.24480000000000002,N/A
54,ADSK,305.1,0.47369999999999995,N/A
55,ADP,167.0,-0.0717,N/A
56,AZO,1146.6,0.0678,N/A
57,AVB,179.5,-0.21289999999999998,N/A
58,AVY,177.2,0.3034,N/A
59,BKR,22.7,0.08560000000000001,N/A
60,BLL,89.6,0.1492,N/A
61,BAC,33.3,-0.0263,N/A
62,BK,41.9,-0.0742,N/A
63,BAX,78.7,-0.1463,N/A
64,BDX,256.3,0.0013,N/A
65,BRK-B,242.4,0.0692,N/A
66,BBY,120.5,0.33659999999999995,N/A
67,BIO,662.3,0.6256,N/A
68,BIIB,278.0,-0.1752,N/A
69,BLK,722.9,0.28,N/A
70,BA,210.9,-0.3774,N/A
71,BKNG,2150.5,0.0882,N/A
72,BWA,41.9,0.2228,N/A
73,BXP,94.1,-0.36210000000000003,N/A
74,BSX,38.3,,N/A
75,BMY,59.9,,N/A
76,AVGO,486.3,,N/A
77,BR,148.0,,N/A
78,BF-B,76.8,,N/A
79,CHRW,91.3,,N/A
80,COG,18.2,,N/A
81,CDNS,145.6,,N/A
82,CPB,46.7,,N/A
83,COF,117.3,,N/A
84,CAH,51.8,,N/A
85,KMX,125.1,,N/A
